Startup Name,Industry,Founding Year,Unicorn Entry Year,Profit in 2021,Current Valuation,Acquisitions,IPO Status
Startup Name,InMobi
Headquarters,"Bangalore, Karnataka, India"
Industry,"Advertising, Digital Media"
Founders,"Abhay Singhal, Amit Gupta, Mohit Saxena, Naveen Tewari, Piyush Shah"
Founded,2007
Investors,"Lightbox Ventures, Softbank Group, Kleiner Perkins"
Products and Services,"InMobi Pulse, Mobile Marketing"
Valuation,$12 billion (April 2021)
Startup Name,Flipkart
Headquarters,"Bengaluru, Karnataka, India"
Industry,"Ecommerce, Marketplace"
Founders,"Binny Bansal, Sachin Bansal"
Founded,2007
Investors,"Walmart, Tencent, Softbank and more"
Products and Services,Ecommerce marketplace that offers over 150 million products
Valuation,$37.6 billion (July 2021)
Startup Name,Bharatpe
Headquarters,"New Delhi, India"
Industry,"Payments platform, Fintech, Financial Services"
Founders,"Ashneer Grover, Bhavik Koladiya, Shashvat Nakrani"
Founded,2018
Investors,"Steadfast Capital, Coatue, Dragoneer, Sequoia"
Products and Services,Payments App
Valuation,$2.85 billion (February 2022)
Startup Name,Dream11
Headquarters,"Mumbai, Maharashtra, India"
Industry,"Fantasy Sports, IT"
Founders,"Bhavit Sheth, Harsh Jain"
Founded,2008
Investors,"Steadview Capital, Tencent, Tiger Global Management, Falcon Edge"
Products and Services,Dream11 sports platform
Valuation,$8 billion (November 2021)
Startup Name,PhonePe
Headquarters,"Andheri, Maharashtra, India"
Industry,"Fintech, Mobile Payments"
Founders,"Burzin Engineer, Rahul Chari, Sameer Nigam"
Founded,2015
Investors,"Flipkart, Walmart"
Products and Services,Phonepe payments app
Valuation,$5.5 billion (December 2020)
Startup Name,BYJUS
Headquarters,"Bangalore, Karnataka, India"
Industry,"Edtech, Distance education, M-learning"
Founder,Byju Raveendran & Divya Gokulnath
Founded,2011
Investors,"Aarin Capital, BOND"
Products and Services,BYJU’S - The Learning App
Valuation,$16.5 Billion (July 2021)
Startup Name,Ola
Headquarters,"Bangalore, India"
Industry,Transportation
Founder,Bhavish Aggarwal & Ankit Bhati
Founded,3 December 2010
Investors,"SoftBank Group, Tiger Global, Tencent, Matrix Partners, and DST Global"
Products and Services,"Mobile app, website, Vehicle for hire, Goods and food delivery, Mobile payment and digital wallet"
Valuation,$6.5 billion (FY20)
Startup Name,OYO Rooms
Headquarters,"Gurgaon, Haryana, India"
Industry,Hospitality
Founder,Ritesh Agarwal
Founded,2013
Investors,"SoftBank Group, Didi Chuxing, Greenoaks Capital, Sequoia India, Lightspeed India, Hero Enterprise, Airbnb, and China Lodging Group."
Products and Services,"OYO Rooms, OYO Hotels & Homes"
Valuation,$9 billion (July 2021)
Startup Name,Swiggy
Headquarters,"Bangalore, India"
Industry,Retail
Founder,"Nandan Reddy, Sriharsha Majety, and Rahul Jaimini"
Founded,2014
Investors,"Norwest Venture Partners, Naspers, Accel, SAIF Partners, Meituan-Dianping"
Products and Services,Food delivery
Valuation,$5.5 billion (July 2021)
Startup Name,Zomato
Headquarters,"Gurgaon, Haryana, India"
Industry,Online food ordering and Retail
Founder,"Deepinder Goyal, Pankaj Chaddah"
Founded,2008
Investors,"Info Edge, Sequoia Capital,  Vy Capital, Ant Financial, Baillie Gifford"
Products and Services,"Restaurant Search & Discovery, Online Ordering, Table Reservations & Management, POS Systems, Subscription Services"
Valuation,$8 billion (July 2021)
Startup Name,Freshworks
Headquarters,"San Mateo, California, United States"
Industry,"IT, CRM, Saas"
Founders,"Girish Mathrubootham, Shan Krishnasamy, Vijay Shankar"
Founded,2010
Investors,"Accel, Steadview Capital, Sequoia Capital, Tiger Global Management"
Products and Services,"CRM software, Software suite"
Valuation,$3.5 billion (August 2021)
Startup Name,Moglix
Headquarter,India
Industry,Internet
Founder,Rahul Garg
Founded,2015
Investors,"Tiger Global Management, Composite Capital Management, Sequoia Capital India and Harvard Management Company"
Products and Services,"B2B Trade Platform, e-commerce, Mobile, Supply Chain Network"
Valuation,$2.6 Billion (January 2022)
Startup Name,upGrad
Headquarters,"Mumbai, Maharashtra, India"
Industry,"Edtech, E-learning"
Founder,"Mayank Kumar, Phalgun Kompalli, Ravijot Chugh, Ronnie Screwvala"
Founded,2015
Investors,"IIFL, Temasek Holdings"
Products and Services,Learning courses and materials
Valuation,$1.2 bn (August 2021)
Startup Name,MakeMyTrip
Industry,Online travel
Founder,Deep Kalra
Founded,2000
Investors,"Prosus & Nasper, Sierra Ventures, Helion Venture Partners, Helion Venture Partners, Tiger Fund"
Products and Services,"Booking tickets for shows, movies, flights, hotels, holidays, buses, trains, etc."
Startup Name,Nykaa
Industry,E-commerce
Founder,Falguni Nayar
Founded,2012
Investors,"Steadview Capital, Fidelity, TPG Growth, Hero Corporate Service Private Limited"
Products and Services,"Cosmetics, skin & wellness products, etc."
Valuation,$2.3 billion (June 2021)
Startup Name,Policy Bazaar
Industry,Insurance Company
Founder,"Yashish Dahiya, Alok Bansal and Avaneesh Nirjar"
Founded,2008
Investors,"Intel Capital, Wellington Management Group, Inventus Capital Partners, Softbank Group True North and IDG Venture Partners"
Products and Services,"Life, Health, Motor, travel insurance, etc"
Valuation,$2.4 billion (July 2021)
Startup Name,CoinDCX
Headquarters,"Mumbai, Maharashtra, India"
Industry,"Cryptocurrency, Blockchain, Fintech"
Founder,"Neeraj Khandelwal, Sumit Gupta"
Founded,2018
Investors,"B Capital Group, Polychain"
Products and Services,"Cryptocurrency buying, selling and exchange services"
Valuation,$2+ billion (April 2022)
Startup Name,Pine Labs
Headquarters,"Noida, Uttar Pradesh, India"
Industry,"Fintech, Financial Services, Payments"
Founders,"Rajul Garg, Tarun Upaday"
Founded,1998
Investors,"Mastercard, Lone Pine Capital, Flipkart, Temasek, Sequoia"
Products and Services,POS devices and software solutions
Valuation,$5+ billion (Marh 2022)
Startup Name,Highradius
Industry,"Fintech, AI, Saas, Software"
Founder,Sashi Narahari
Founded,2006
Investors,"Tiger Global, D1 Capital Partners, ICONIQ and more"
Products and Services,AI-based order-to-cash and treasury management software
Valuation,$3.1+ billion (March 2021)
Startup Name,Zetwerk
Headquarters,"Bengaluru, Karnataka, India"
Industry,"B2B, Marketplace, Consumer goods"
Founders,"Amrit Acharya, Rahul Sharma, Srinath Ramakkrushnan, Vishal Chaudhary"
Founded,2018
Investors,"IIFL, Accel, Sequoia Capital"
Products and Services,Manufacturing and supply chain systems
Valuation,$1.33+ bn (December 2021)
Startup Name,BlackBuck
Headquarters,"Bangalore, India"
Industry,"Logistics, Transportation"
Founders,"Chanakya Hridaya, Rajesh Yabaji, Ramasubramaniam B"
Founded,2015
Investors,"Trifecta Capital Advisors, Sequoia, Accel, InnoVen Capital"
Products and Services,"Trucks, logistics and transportation services for shippers and fleet operators"
Valuation,$1.02 billion (August 2021)
Startup Name,Droom
Headquarters,"Haryana, India"
Industry,"Automotives, B2B, Marketplace"
Founder,Sandeep Aggarwal
Founded,2014
Investors,"Lightbox, Toyota Tsusho, SevenTrain Ventures, Integrated Capital"
Products and Services,"Marketplace for used cars, bikes, scooters and other merchandise"
Valuation,$1.2 billion(August 2021)
Startup Name,OfBusiness
Headquarters,"Haryana, India"
Industry,"Building Materials, FinTech"
Founders,"Asish Mohapatra, Bhuvan Gupta, Chandranshu Sinha, Nitin Jain, Ruchi Kalra, Srinath Ramakkrushnan, Vasant Sridhar"
Founded,2015
Investors,"Falcon Edge Capital, Softbank, Matrix Partners"
Products and Services,Raw materials for SMEs
Valuation,$5+ billion (December 2021)
Startup Name,ShareChat
Headquarter,"Bangalore, India"
Industry,"Internet, Mobile Apps, Social Media, Social Network"
Founder,"Ankush Sachdeva, Bhanu Pratap Singh, and Faris Ahsan"
Founded,2015
Investors,"Lightspeed Venture Partners, Tiger Global Management, Twitter Ventures, SAIF Partners, Shunwei Capital, and Xiaomi"
Products and Services,Social Networking and Regional Contents
Valuation,$3.7 Billion (December 2021)
Startup Name,VerSe Innovation
Industry,"Content, Technology, Social Media, Internet"
Founders,"Umang Bedi, Virendra Gupta"
Founded,2007
Investors,"Google, Sequoia Capital, Microsoft, ByteDance, B Capital and more"
Products and Services,"Powers Josh, Dailyhunt with technological support and expertise"
Valuation,$5 billion (April 2021)
Startup Name,PharmEasy
Industry,Healthcare and Online Pharmacy
Founder,"Mikhil Innani, Dharmil Sheth and Dhaval Shah"
Founded,2015
Investors,"B Capital, Prosus, Temasek, Think Investments, Tiger Global, A Velumani, etc."
Products and Services,"Online pharmacy services, medicines, healthcare products, diagnostic test, etc."
Valuation,$5.6 billion (JuOctoberne 2021)
Startup Name,MyGlamm
Industry,"Cosmetics, Beauty, Marketplace"
Founder,"Darpan Sanghvi, Priyanka Gill"
Founded,2015
Investors,"Prosus, Warburg, Trifecta, Amazon and more"
Products and Services,Beauty and cosmetics products marketplace
Valuation,$1.2+ billion (November 2021)
Startup Name,CRED
Industry,Financial Technology
Founder,Kunal Shah
Founded,2018
Investors,"Falcon Edge Capital, Coatue Mnagement LLP, Insight Partners, Tiger Global, RTP Global, DST Global, Greenoaks Capital, etc."
Products and Services,"Rentpay, CRED Stash, Store, Credit Card Payments and Cred Pay"
Valuation,$2.2 billion (April 2021)
Startup Name,Meesho
Industry,E-commerce
Founder,Vidit Aatrey and Sanjeev Barnwal
Founded,2015
Investors,"Softbank, Facebook, Prosus Ventures, Shunwei Capital, venture highway and Knollwood Investment"
Products and Services,"Clothes, cosmetics, household items, etc"
Valuation,$4.9 billion (September 2021)
Startup Name,Urban Company
Industry,Home Services
Founder,"Abhiraj Bhal, Varun Khaitan and Raghav Chandra"
Founded,2014
Investors,"Prosus Ventures, Dragoneer, Wellington Management, Vy Capital, Tiger Global, and Steadview"
Products and Services,"professionals for cleaning, beauticians, masseurs, carpenters, etc"
Valuation,$2.8 billion (June 2021)
Startup Name,Infra.Market
Industry,Building material
Founder,Souvik Sengupta
Founded,2016
Investors,"Nexus Venture Partners, Foundamental, Tiger Global, Accel Partner"
Products and Services,"Construction Materials, Infrastructure, and Heavy Equipment Rental"
Valuation,$2.5 billion (August 2021)
Startup Name,Digit Insurance
Industry,Insurance
Founder,Kamesh Goyal
Founded,2017
Investors,"Sequoia Capital, IIFL Alternate Asset Managers, Fearing Capital, TVS Capital, etc"
Products and Services,"Insurance for Car, Health, employee, 2 Wheeler, 3 Wheeler, etc."
Valuation,$4 billion (May 2022)
Startup Name,Innovaccer
Industry,Healthcare
Founder,Sandeep Gupta
Founded,2014
Investors,"Steadview Capital, Dragoneer, B Capital Group, Mubadala Capital Microsoft Venture Funds."
Products and Services,"Clinical Integration, Health Management, Big data analytics, Quality Reporting, Healthcare data platform"
Valuation,$1.3 billion (February 2021)
Startup Name,Five Star Business Finance
Industry,Financial Services
Founder,V.K Ranganathan
Founded,1984
Investors,"Sequoia Capital India, Norwest Venture Partners, KKR, TVS Capital, Matrix Partners"
Products and Services,"Small Business Loans, Mortgage Loans, Home Loans, Property Loans"
Valuation,$1.4 billion (March 2021)
Startup Name,Groww
Industry,Financial Technology
Founder,"Lalit Keshre, Harsh Jain, Ishan Bansal, and Neeraj Singh"
Founded,2017
Investors,"Sequoia Capital, Ribbit Capital, YC Continuity, Kauffman Fellows, Insignia Venture Partners and Propel Venture Partners"
Products and Services,"Stock broking services, direct mutual funds, IPO, ETF, digital gold"
Valuation,$1 billion (May 2021)
Startup Name,Gupshup
Industry,Software
Founder,Beerud Sheth
Founded,2004
Investors,"Tiger Global Management Llc, Think Investments, Malabar Investments, Harbor Spring Capital, White Oak , Fidelity Management"
Products and Services,Chatbots
Valuation,$1.4 billion (July 2021)
Startup Name,Eruditus
Headquarters,"Mumbai, Maharashtra, India"
Industry,"Edtech, Education"
Founder,"Ashwin Damera, Chaitanya Kalipatnapu"
Founded,2010
Investors,"Accel, Softbank Vision Fund, Prosus Ventures"
Products and Services,"Education, E-learning"
Valuation,$2.5 billion
Startup Name,Chargebee
Industry,Financial services
Founder,Krish Subramanian
Founded,2011
Investors,"Sapphire Ventures, Tiger Global, Insight Venture Partners"
Products and Services,"invoicing, taxes, SaaS metrics, accounting and customer management."
Valuation,$1.4 billion (April 2021)
Startup Name,Zeta
Industry,Financial Technology
Founder,Bhavin Turakhia and Ramki Gaddipati
Founded,2015
Investors,"SoftBank, Avendus Capital, Sodexo, Directi ."
Products and Services,"cloud-native, API-first neo-banking and other Fintech services."
Valuation,$1.45 billion (May 2021)
Startup Name,BrowserStack
Headquarters,"Mumbai, India"
Industry,Cloud Infrastructure and Software
Founder,Ritesh Arora & Nakul Aggarwal
Founded,2011
Investors,"Insight Partners, Accel and Bond"
Products and Services,Cloud Web and Software Testing
Valuation,$4 Billion (June 2021)
Startup Name,Paytm
Headquarters,"Noida, Uttar Pradesh, India"
Industry,E-commerce Finance
Founder,Vijay Shekhar Sharma
Founded,August 2010
Investors,"Alibaba, Ant Group, AGH Holdings, SAIF Partners, T Rowe Price, Discovery Capital, and Warren Buffett’s Berkshire Hathaway"
Products and Services,"Paytm Mall, Paytm Payments Bank, Paytm Money, Gamepind, Paytm Smart Retail, Payment system, Mobile payments, Online shopping"
Valuation,$16 billion (June 2021)
Startup Name,Paytm Mall
Headquarters,"Gurgaon, Haryana, India"
Industry,E-commerce Finance
Founder,Vijay Shekhar Sharma
Founded,2017
Investors,"Alibaba, Elevation Capital, SoftBank, eBay"
Products and Services,Online Shopping
Valuation,$3 billion (July 2019)
Startup Name,Zerodha
Headquarters,"Bangalore, India"
Industry,Stockbroker
Founder,Nithin Kamath and Nikhil Kamath
Founded,2010
Investors,Bootstrapped
Products and Services,"Kite, Coin, Console, Varsity, Equity Trading, Currencies and Commodities Trading, Mutual Funds and Bonds"
Valuation,$2 billion (June 2021)
Startup Name,ReNew Power
Headquarters,"Gurgaon, Haryana, India"
Industry,Renewable energy
Founder,Sumant Sinha
Founded,2011
Investors,Sylebra Capital and Goldman Sachs
Products and Services,"Wind Power, Solar Power, Solar Rooftop Power"
Valuation,$8 billion (March 2021)
Startup Name,BigBasket
Headquarters,"Bangalore, India"
Industry,Retail
Founder,"Hari Menon, V.S. Sudhakar, Vipul Parekh, Abhinay Choudhari and V.S. Ramesh"
Founded,2011
Investors,"Alibaba, CDC Group, Ant Financial, Intel Capital, and Berkshire Hathaway"
Products and Services,Grocery Delivery
Valuation,$1.85 billion (March 2021)
Startup Name,Udaan
Headquarters,India
Industry,"E-commerce, Supply chain management, B2B"
Founder,"Sujeet Kumar, Amod Malviya, and Vaibhav Gupta"
Founded,2016
Investors,"Tencent Holdings, Altimeter Capital, Octahedron Capital, GGV Capital, Moonstone Capital, DST Global, and Lightspeed Venture Partners"
Products and Services,B2B trade platform
Valuation,$3.1 billion (Jan 2021)
Startup Name,Ola Electric
Industry,Automotive
Founder,Ankit Jain and Anand Shah
Founded,2017
Investors,"SoftBank, Tiger Global, Ratan Tata, Hyundai Motors, Matrix Partners, Tiger Global and The Munjal Family."
Products and Services,Electric two and tree wheeler vehicles
Valuation,$5+ billion (January 2022)
Startup Name,Mohalla Tech
Industry,Software
Founder,"Ankush Sachdeva, Farid Ahsan and Bhanu Singh"
Founded,2015
Investors,"Lightspeed Ventures, Tiger Global, Twitter, India Quotient,"
Products and Services,MOJ and Sharechat
Valuation,$3.7 billion (December 2021)
Startup Name,FirstCry
Industry,E-commerce
Founder,"Supam Maheshwari, Amitava Saha, Prashant Jadhav, Sanket Hattimattur"
Founded,2010
Investors,"TPG, Chrys Capital, Premji Invest, Elevation Capital, MegaDelta and Vertex"
Products and Services,Baby and Kids Products
Valuation,$2 billion (March 2021)
Startup Name,Lenskart
Industry,Eyewear
Founder,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi"
Founded,2010
Investors,"Temasek, Falcon Edge Capital,  KKR, Bay Capital, and Chiratae"
Products and Services,"Eyewear, opticians"
Valuation,$4.32 billion (April 2022)
Startup Name,Blinkit (ex-Grofers)
Headquarters,"Gurgaon, Haryana, India"
Industry,"Ecommerce, Grocery, Delivery"
Founders,"Albinder Dhindsa, Saurabh Kumar"
Founded,2013
Investors,"Tiger Global Management, Softbank Vision Fund"
Products and Services,"Grocery, body care and essentials delivery"
Valuation,"$1 billion(June 30, 2021)"
Startup Name,Glance
Headquarters,"Bangalore, Karnataka, India"
Industry,"Mobile, Technology"
Founder,Naveen Tewari
Founded,2019
Investors,"Lightbox, Softbank Group, Kleiner Perkins"
Products and Services,Mobile lock screen content
Valuation,$1 billion (December 2020)
Startup Name,Dailyhunt
Headquarters,"Bangalore, Karnataka, India"
Industry,"Social News, IT, Language learning"
Founders,"Umang Bedi, Umesh Kulkarni, Virendra Gupta"
Founded,2007
Investors,"Google, Alphawave, Microsoft, Sequoia Capital, Falcon Capital"
Products and Services,Dailyhunt app
Valuation,$1 billion (March 2021)
Startup Name,Zenoti
Headquarters,"Bellevue, Washington, United States"
Industry,"CRM, Enterprise software"
Founders,"Dheeraj Koneru, Saritha Katikaneni, Sudheer Koneru"
Founded,2010
Investors,"Accel, Norwest Venture Partners, Steadview Capital, Tiger Global Management"
Products and Services,"Salon software, spa software, med spa software"
Valuation,$1.5+ billion
Startup Name,Cars24
Headquarters,"Gurgaon, Haryana, India"
Industry,"B2C, Ecommerce, AI"
Founders,"Gajendra Jangid, Mehul Agrawal, Ruchit Agarwal, Vikram Chopra"
Founded,2015
Investors,"DST Global, KCK Global, Sequoia Capital"
Products and Services,"Cars24 website/app, cars buying and selling service"
Valuation,$1.6 billion (July 2021)
Startup Name,RazorPay
Headquarters,"Bangalore, Karnataka, India"
Industry,"Fintech, Financial Services"
Founder,"Harshil Mathur, Shashank Kumar"
Founded,2014
Investors,"GIC, Sequoia Capital, Tiger Global Management"
Products and Services,Payment gateway services
Valuation,$3 billion (April 2021)
Startup Name,Unacademy
Headquarters,"Bangalore, Karnataka, India"
Industry,"Edtech, E-learning"
Founders,"Gaurav Munjal, Hemesh Singh, Roman Saini, Sachin Gupta"
Founded,2015
Investors,"Temasek Holdings, Dragoneer Investment Group, Softbank, Facebook, Sequoia Capital"
Products and Services,Courses and classes
Valuation,$3.44 billion (August 2021)
Startup Name,Postman
Headquarters,"San Francisco, California, United States"
Industry,"Software, Developer Tools, Developer APIs,"
Founders,"Abhijit Kane, Abhinav Asthana, Ankit Sobti"
Founded,2014
Investors,"Insight Partners, CRV, Nexus Venture"
Products and Services,"Postman app, Postman Workspace, Built-in tools"
Valuation,$5.6 billion (August 2021)
Startup Name,CitiusTech
Headquarters,"Princeton, New Jersey, United States"
Industry,Healthcare Technology
Founders,"Jagdish Moorjani, Rizwan Koita"
Founded,2005
Investors,"Baring Pvt. Equity Asia, Bain Capital"
Products and Services,"Consulting, Digital & Product Engineering, Data & Analytics"
Valuation,$2.4 billion (May 2022)
Startup Name,Icertis
Headquarters,"Bellevue, Washington, United States"
Industry,"AI, Cloud Data Services, CRM, Saas"
Founders,"Monish Darda, Samir Bodas"
Founded,2009
Investors,"B Capital Group, Ignition Partners, Eight Roads Ventures"
Products and Services,Contract Management Software
Valuation,$2.8 billion (March 2021)
Startup Name,Druva
Headquarters,"Sunnyvale, California, United States"
